plotname,area,points,devRRT
inputs/sample_24_comp=Target_13.jpeg,136971.84,1,0.00581
inputs/sample_23_comp=Target_13.jpeg,733404.45,5,0.00952
inputs/sample_19_comp=Target_14.jpeg,0,0,1
inputs/sample_4_comp=Target_14.jpeg,59440.18,1,0.01879
inputs/sample_14_comp=Target_14.jpeg,848308.55,4,0.01907
inputs/sample_1_comp=Target_14.jpeg,0,0,1
inputs/sample_10_comp=Target_14.jpeg,94135.77,1,0.02013
inputs/sample_13_comp=Target_14.jpeg,53995.49,1,0.01291
inputs/sample_11_comp=Target_14.jpeg,670482.18,7,0.01615
inputs/sample_16_comp=Target_14.jpeg,64390.85,1,0.01761
inputs/sample_15_comp=Target_14.jpeg,0,0,1
inputs/sample_3_comp=Target_14.jpeg,0,0,1
inputs/sample_18_comp=Target_14.jpeg,0,0,1
inputs/sample_5_comp=Target_14.jpeg,39986.55,1,0.02377
inputs/sample_12_comp=Target_14.jpeg,237331.67,1,0.02106
inputs/sample_22_comp=Target_14.jpeg,0,0,1
inputs/sample_21_comp=Target_14.jpeg,0,0,1
inputs/sample_17_comp=Target_14.jpeg,0,0,1
inputs/sample_2_comp=Target_14.jpeg,0,0,1
inputs/sample_24_comp=Target_14.jpeg,0,0,1
inputs/sample_20_comp=Target_14.jpeg,0,0,1
inputs/sample_23_comp=Target_14.jpeg,0,0,1
inputs/sample_1_comp=Target_15.jpeg,0,0,1
inputs/sample_14_comp=Target_15.jpeg,0,0,1
inputs/sample_4_comp=Target_15.jpeg,0,0,1
inputs/sample_22_comp=Target_15.jpeg,0,0,1
inputs/sample_18_comp=Target_15.jpeg,0,0,1
inputs/sample_5_comp=Target_15.jpeg,0,0,1
inputs/sample_13_comp=Target_15.jpeg,0,0,1
inputs/sample_15_comp=Target_15.jpeg,0,0,1
inputs/sample_2_comp=Target_15.jpeg,0,0,1
inputs/sample_3_comp=Target_15.jpeg,0,0,1
inputs/sample_12_comp=Target_15.jpeg,0,0,1
inputs/sample_11_comp=Target_15.jpeg,0,0,1
inputs/sample_24_comp=Target_15.jpeg,0,0,1
inputs/sample_17_comp=Target_15.jpeg,0,0,1
inputs/sample_21_comp=Target_15.jpeg,0,0,1
inputs/sample_20_comp=Target_15.jpeg,0,0,1
inputs/sample_10_comp=Target_15.jpeg,0,0,1
inputs/sample_23_comp=Target_15.jpeg,0,0,1
inputs/sample_22_comp=Target_16.jpeg,0,0,1
inputs/sample_14_comp=Target_16.jpeg,3588312,1,0.00562
inputs/sample_13_comp=Target_16.jpeg,5682952.14,3,0.00466
inputs/sample_3_comp=Target_16.jpeg,0,0,1
inputs/sample_15_comp=Target_16.jpeg,3375577.12,2,0.00871
inputs/sample_2_comp=Target_16.jpeg,5582677.55,3,0.00234
inputs/sample_17_comp=Target_16.jpeg,2093164.88,2,0.00338
inputs/sample_18_comp=Target_16.jpeg,2094265.81,2,0.00344
inputs/sample_11_comp=Target_16.jpeg,254652.84,1,0.05319
