plotname,area,points,devRRT
inputs/sample_5_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_12_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_13_confirming.jpeg,0,0,1
inputs/sample_19_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_1_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_13_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_10_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_18_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_11_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_16_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_5_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_15_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_12_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_3_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_21_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_17_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_2_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_24_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_20_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_23_comp=Target_14_confirming.jpeg,0,0,1
inputs/sample_14_comp=Target_15_confirming.jpeg,6291.2,2,0.33253
inputs/sample_1_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_22_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_4_comp=Target_15_confirming.jpeg,0,0,1
inputs/sample_18_comp=Target_15_confirming.jpeg,14281.39,2,0.00141
inputs/sample_15_comp=Target_15_confirming.jpeg,2400.77,1,0.36231
